id	Раздел	Отображаемая строка	Ожидаемый ответ
25	№12 (НЕ/НИ слитно и раздельно)	Не спешите (НЕ)НАВИДЕТЬ то, чего толком не знаете.	ненавидеть
26	№12 (НЕ/НИ слитно и раздельно)	Раньше мы с Петровым (НЕ)ДОЛЮБЛИВАЛИ друг друга.	недолюбливали
27	№12 (НЕ/НИ слитно и раздельно)	(НЕ)НАСТЬЕ, а не хорошая погода ожидает нас на этой неделе.	ненастье
28	№12 (НЕ/НИ слитно и раздельно)	Я столкнулся с этой (НЕ)ОБХОДИМОСТЬЮ чуть позже.	необходимостью
29	№12 (НЕ/НИ слитно и раздельно)	(НЕ)ПРОБУДНЫЙ сон одолел меня.	непробудный
30	№12 (НЕ/НИ слитно и раздельно)	(НЕ)ТАК я себе представлял свою жизнь.	не так
31	№12 (НЕ/НИ слитно и раздельно)	Нет, прошлого мне (НЕ)ЖАЛЬ.	не жаль
32	№12 (НЕ/НИ слитно и раздельно)	Мне оставили (НЕ)БОЛЕЕ дня на подготовку.	не более
33	№12 (НЕ/НИ слитно и раздельно)	Откликнется на эту просьбу вам (НЕ)ВСЯКИЙ.	не всякий
34	№12 (НЕ/НИ слитно и раздельно)	(НЕ)КАЖДОМУ дано постичь эту мудрость.	не каждому
35	№12 (НЕ/НИ слитно и раздельно)	(НЕ)ЛЮБОГО человека можно просить о чём-то важном.	не любого
36	№13 (слитно/раздельно/дефис)	Она часто идёт (НА)ВСТРЕЧУ опасности.	навстречу
37	№13 (слитно/раздельно/дефис)	(В)ОТЛИЧИЕ от других, он необычайно терпелив.	в отличие
38	№13 (слитно/раздельно/дефис)	Ловлей гусениц воробьи занимаются (В)ТЕЧЕНИЕ недель.	в течение
39	№13 (слитно/раздельно/дефис)	(В)СЛЕД за родителями птенцы будут добывать себе корм сами.	вслед
40	№13 (слитно/раздельно/дефис)	Один из заливов необычной формы: (НА)ПОДОБИЕ хобота слона.	наподобие
41	№13 (слитно/раздельно/дефис)	Дон Жуан в пьесе атеист, (ПРИ)ЧЁМ остроумный и бесстрашный.	причём
42	№13 (слитно/раздельно/дефис)	Он был неотразим, (НЕ)СМОТРЯ на свои пороки.	несмотря
43	№13 (слитно/раздельно/дефис)	(В)ПРОДОЛЖЕНИЕ вечера в саду звенели птичьи трели.	в продолжение
44	№13 (слитно/раздельно/дефис)	В шляпе были яркие перья КАКОЙ(ТО) птицы.	какой-то
45	№13 (слитно/раздельно/дефис)	(С)НАЧАЛА поинтересуйтесь, кто видел эту книгу.	сначала
46	№13 (слитно/раздельно/дефис)	(ПО)ВИДИМОМУ, будет снег.	по-видимому
47	№13 (слитно/раздельно/дефис)	(ПО)ЗАДИ нас затихали звуки города.	позади
48	№13 (слитно/раздельно/дефис)	(ПО)НЕМНОГУ просыпался весенний лес.	понемногу
49	№13 (слитно/раздельно/дефис)	Воздух (КАК)БУДТО промыт родниковой водой.	как будто
50	№13 (слитно/раздельно/дефис)	(В)ДАЛИ возвышались паруса рыбачьих лодок.	вдали
51	№13 (слитно/раздельно/дефис)	Дома были розовыми, ПОТОМУ(ЧТО) их освещало заходящее солнце.	потому что
52	№13 (слитно/раздельно/дефис)	Это заблужение было популярно (В)ПЛОТЬ до нашего века.	вплоть
53	№13 (слитно/раздельно/дефис)	Отряды шли тогда (ПО)ЭТОМУ оврагу.	по этому
54	№13 (слитно/раздельно/дефис)	Я пошел лесом, ЧТО(БЫ) срезать путь.	чтобы
55	№13 (слитно/раздельно/дефис)	Он всегда жил (В)СТОРОНЕ от других.	в стороне
56	№13 (слитно/раздельно/дефис)	Я зашёл, (С)ТЕМ ЧТО(БЫ) поблагодарить вас.	с тем чтобы
57	№13 (слитно/раздельно/дефис)	(ПО)ТОМУ, сколько в стране читают, можно судить о культуре.	по тому
58	№13 (слитно/раздельно/дефис)	То, (НА)СКОЛЬКО быстро достроили дом, поражает.	насколько
59	№13 (слитно/раздельно/дефис)	Нам (B)ПОЛНЕ понятны ваши опасения.	вполне
60	№13 (слитно/раздельно/дефис)	Герои уже (В)НАЧАЛЕ произведения понятны читателю.	в начале
61	№13 (слитно/раздельно/дефис)	Написано складно, (ТАК)ЧТО у читателя остается приятное впечатление.	так что
62	№13 (слитно/раздельно/дефис)	Глупец считает себя (В)ПРАВЕ поучать людей.	вправе
63	№13 (слитно/раздельно/дефис)	(ЗА)ЧАСТУЮ все складывалось неблагоприятно для героя.	зачастую
64	№13 (слитно/раздельно/дефис)	Герою интересен лишь он сам, а (ПО)ТОМУ он остаётся один.	потому
65	№13 (слитно/раздельно/дефис)	Для этого автора, ТАК(ЖЕ) как и для многих других, форма имеет огромное значение.	так же
66	№13 (слитно/раздельно/дефис)	(НА)ПРОТЯЖЕНИИ всей дальнейшей жизни писатель не переставал творить.	на протяжении
67	№13 (слитно/раздельно/дефис)	Многие не умеют мечтать и (ПО)ЭТОМУ не могут идти в ногу со временем.	поэтому
68	№13 (слитно/раздельно/дефис)	(ВСЁ)РАВНО придётся брать термос в дорогу.	всё равно
69	№13 (слитно/раздельно/дефис)	Граф с ШЕСТНАДЦАТИ(ЛЕТНЕГО) возраста брал уроки фортепиано.	шестнадцатилетнего
70	№13 (слитно/раздельно/дефис)	Это (ПО)ИСТИНЕ славное решение.	поистине
71	№13 (слитно/раздельно/дефис)	На столе лежали конфеты, а ТАК(ЖЕ) пачка печенья.	также
72	№13 (слитно/раздельно/дефис)	(В)ПОСЛЕДСТВИИ он уехал из страны.	впоследствии
73	№13 (слитно/раздельно/дефис)	(И)ТАК, изложите ваши требования полностью.	итак
74	№13 (слитно/раздельно/дефис)	Художник (НА)ВСЕГДА запомнился как знаток живописи.	навсегда
75	№13 (слитно/раздельно/дефис)	Моросил дождь, а (ЗА)ТЕМ и снег пошёл.	затем
76	№13 (слитно/раздельно/дефис)	Сам министр (НА)ВСТРЕЧУ не прибыл, но приехали его заместители.	на встречу
77	№13 (слитно/раздельно/дефис)	Вчера было холодно из-за вьюги, (ЗА)ТО сегодня безветрие.	зато
78	№13 (слитно/раздельно/дефис)	(ОТ)ТОГО цикла стихотворений Пушкина нельзя отторгнуть «Арион».	от того
79	№13 (слитно/раздельно/дефис)	(НА)ВЕРНОЕ, не стоит пока полагаться на этого человека.	наверное
80	№13 (слитно/раздельно/дефис)	Солнце (НА)СКВОЗЬ пробивает лёгкие тучки.	насквозь
81	№13 (слитно/раздельно/дефис)	Стоит прочесть ХОТЯ(БЫ) несколько страниц.	хотя бы
82	№13 (слитно/раздельно/дефис)	ТОТ(ЧАС) раздался громкий хлопок.	тотчас
83	№13 (слитно/раздельно/дефис)	Её волосы (ПО)ПРЕЖНЕМУ были волнистыми.	по-прежнему
84	№13 (слитно/раздельно/дефис)	У меня есть (ТАКИЕ)ЖЕ книги дома.	такие же
85	№13 (слитно/раздельно/дефис)	Мы расположились ТУТ(ЖЕ), у костра.	тут же
86	№13 (слитно/раздельно/дефис)	Я заплатил незнакомцу ЗА(ТО), что он согласился помочь.	за то
87	№13 (слитно/раздельно/дефис)	(В)ВИДУ ремонта дороги мы срочно меняем маршрут.	ввиду
88	№13 (слитно/раздельно/дефис)	Имейте (В)ВИДУ все нюансы дела, не спешите с выводами.	в виду
89	№13 (слитно/раздельно/дефис)	ДА(ЖЕ) птицы сегодня грустно молчат.	даже
90	№13 (слитно/раздельно/дефис)	Мы ТО(ЖЕ) совершили такую ошибку.	тоже
91	№13 (слитно/раздельно/дефис)	Ночью развели огромный костёр (НА)ВЕРХУ горы.	на верху
92	№13 (слитно/раздельно/дефис)	(К)НИЗУ длинного платья тянулся красивый разрез.	к низу
93	№13 (слитно/раздельно/дефис)	Аппарат погружался (В)ГЛУБЬ океана.	в глубь
94	№13 (слитно/раздельно/дефис)	(В)ДАЛЬ туманную плывут серые облачка.	в даль
95	№13 (слитно/раздельно/дефис)	(В)НАЧАЛЕ осени стало холоднее.	в начале
96	№13 (слитно/раздельно/дефис)	(ВО)ВЕКИ веков не искоренить это зло.	во веки
97	№13 (слитно/раздельно/дефис)	Объясните всем, (ЗА)ЧЕМ это нужно сделать.	зачем
98	№13 (слитно/раздельно/дефис)	Во сне представилось ТО(ЖЕ) самое мёртвое пространство с грядами туч.	то же
99	№13 (слитно/раздельно/дефис)	Он, (В)СИЛУ своего высокого положения, прежде ездил только на машине.	в силу
100	№13 (слитно/раздельно/дефис)	Он всю жизнь ездил на машине, (ОТ)ЧЕГО долго не мог разобраться, как войти в метро.	отчего
101	№13 (слитно/раздельно/дефис)	(ПО)ТОМУ, что говорил дядя, сразу стал понятен исход нашего спора.	по тому
102	№13 (слитно/раздельно/дефис)	Неизвестно, СДЕРЖАЛ(ЛИ) он тогда слово.	сдержал ли
103	№13 (слитно/раздельно/дефис)	Молчалин (НИ)КОГДА не любил Софью.	никогда
104	№13 (слитно/раздельно/дефис)	(В)СЛЕДСТВИЕ задержки в пути мы выехали поздно.	вследствие
105	№13 (слитно/раздельно/дефис)	Я шёл по полю (В)ПОТЁМКАХ.	в потёмках
106	№13 (слитно/раздельно/дефис)	Я НА(ДОЛГО) останусь здесь.	надолго
107	№13 (слитно/раздельно/дефис)	Я вернусь через (ПОЛ)МИНУТЫ.	полминуты
108	№13 (слитно/раздельно/дефис)	Из леса (В)ВИДЕ брёвен вывозятся стволы деревьев.	в виде
109	№13 (слитно/раздельно/дефис)	Он безобидный только (С)ВИДУ.	свиду
110	№13 (слитно/раздельно/дефис)	(СО)ВРЕМЕНЕМ эти требования поменяются.	со временем
111	№13 (слитно/раздельно/дефис)	КТО(ТО) из туристов отстал от группы.	кто-то
112	№13 (слитно/раздельно/дефис)	Бобрята обросли шерстью ещё только (НА)ПОЛОВИНУ.	наполовину
113	№13 (слитно/раздельно/дефис)	Аудитория слушателей была (ПО)ИСТИНЕ огромна.	поистине
114	№13 (слитно/раздельно/дефис)	Интернет популярен, ТАК(КАК) это необъятный источник информации.	так как
115	№13 (слитно/раздельно/дефис)	На каждом из параллельно соединённых проводников возникает одно и ТО(ЖЕ) напряжение.	то же
116	№13 (слитно/раздельно/дефис)	Поговорим (НА)СЧЁТ условий поединка.	насчёт
117	№13 (слитно/раздельно/дефис)	(ЗА)СЧЁТ подготовки я успешно сдала экзамен.	за счёт
118	№13 (слитно/раздельно/дефис)	Мы дошли до деревни (ЗА)СВЕТЛО.	засветло
119	№13 (слитно/раздельно/дефис)	Я справился, (ПРИ)ЭТОМ потратив всего два часа.	при этом
120	№13 (слитно/раздельно/дефис)	(СО)ВСЕМ уже не слышно пения соловья.	совсем
121	№13 (слитно/раздельно/дефис)	Темнота ВСЁ(ТАКИ) застала нас врасплох.	всё-таки
122	№13 (слитно/раздельно/дефис)	(ВО)ВРЕМЯ поездки будьте осторожны.	во время
123	№13 (слитно/раздельно/дефис)	(НА)КОНЕЦ, этот лес полностью вырубили.	наконец
124	№13 (слитно/раздельно/дефис)	КОЕ(ГДЕ) виднелись небольшие островки воды.	кое-где
125	№13 (слитно/раздельно/дефис)	(В)НИЗУ слышался плеск ручья.	внизу
126	№13 (слитно/раздельно/дефис)	Я (НЕ)РАЗ помогала своему брату.	не раз
127	№13 (слитно/раздельно/дефис)	КАК(БЫ) извернуться и найти недостающую сумму?	как бы
128	№13 (слитно/раздельно/дефис)	(ПО)НАЧАЛУ романа молодого писателя трудно судить о таланте автора.	по началу
129	№13 (слитно/раздельно/дефис)	(ПО)НАЧАЛУ мне казалось, что мои слова не произвели впечатления.	поначалу
130	№13 (слитно/раздельно/дефис)	(В)СКОРЕ обнаружилось, что весь отдел обсуждает его выступление.	вскоре
131	№13 (слитно/раздельно/дефис)	Сосны тянутся КУДА(ТО) своими верхушками.	куда-то
132	№13 (слитно/раздельно/дефис)	Будут ещё ясные дни, (ЧТО)БЫ ни говорили скептики.	что бы
133	№13 (слитно/раздельно/дефис)	(НЕ)ЗАЧЕМ думать о плохом.	незачем
134	№13 (слитно/раздельно/дефис)	Это было очень не (ПО)ТОВАРИЩЕСКИ.	по-товарищески
135	№13 (слитно/раздельно/дефис)	Здания располагалось (НА)ПРОТИВ.	напротив
136	№13 (слитно/раздельно/дефис)	ВСЁ(ЖЕ) я не могу согласиться с этим.	всё же
137	№13 (слитно/раздельно/дефис)	Можно (НА)ПЕРЁД предугадать их реакцию.	наперёд
138	№13 (слитно/раздельно/дефис)	СКОЛЬ(БЫ) отталкивающим он нам ни казался, мы попытаемся понять его мотивы.	сколь бы
139	№13 (слитно/раздельно/дефис)	Вы не правы, (ПО)СКОЛЬКУ нельзя осуждать человека за такое.	поскольку
140	№13 (слитно/раздельно/дефис)	(ОТ)ЭТОГО хорошо становилось на душе.	от этого
141	№13 (слитно/раздельно/дефис)	(ИЗ)ЗА сильных дождей размыло дорогу.	из-за
142	№13 (слитно/раздельно/дефис)	(КАК)ТОЛЬКО берега скрываются за горизонтом, корабль попадает во власть океана.	как только
